"genenames","PFAM"
"MA-13367g0010",NA
"MA-13386g0010",NA
"MA-134132g0010","PF10294-Lysine methyltransferase"
"MA-134174g0010","PF13923-Zinc finger, C3HC4 type (RING finger)"
"MA-134292g0010","PF02737-3-hydroxyacyl-CoA dehydrogenase, NAD binding domain;PF00378-Enoyl-CoA hydratase/isomerase;PF00725-3-hydroxyacyl-CoA dehydrogenase, C-terminal domain;PF00725-3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"
"MA-134293g0010","PF05627-Cleavage site for pathogenic type III effector avirulence factor Avr"
"MA-13436g0010","PF00168-C2 domain;PF00168-C2 domain;PF00168-C2 domain;PF08372-Plant phosphoribosyltransferase C-terminal"
"MA-134472g0010",NA
"MA-134483g0010","PF08449-UAA transporter family"
"MA-13454g0010","PF00125-Core histone H2A/H2B/H3/H4"
"MA-134558g0010","PF00782-Dual specificity phosphatase, catalytic domain;PF14671-Dual specificity protein phosphatase, N-terminal half"
"MA-134586g0010","PF10046-Biogenesis of lysosome-related organelles complex-1 subunit 2"
"MA-134695g0010","PF00173-Cytochrome b5-like Heme/Steroid binding domain"
"MA-134742g0010","PF08541-3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal"
"MA-134857g0010","PF12572-Protein of unknown function (DUF3752)"
"MA-134875g0010","PF04057-Replication factor-A protein 1, N-terminal domain"
"MA-13490g0020","PF00141-Peroxidase"
"MA-13504g0020",NA
"MA-135205g0010",NA
"MA-135224g0010",NA
"MA-135257g0010","PF01412-Putative GTPase activating protein for Arf"
"MA-13536g0010","PF00071-Ras family"
"MA-135369g0010",NA
"MA-135402g0010","PF00854-POT family;PF00854-POT family"
"MA-135443g0010",NA
"MA-13545g0010","PF03547-Membrane transport protein"
"MA-13553g0010","PF13012-Maintenance of mitochondrial structure and function"
"MA-135547g0010","PF02875-Mur ligase family, glutamate ligase domain"
"MA-13557g0010",NA
"MA-135713g0010",NA
"MA-135835g0010",NA
"MA-135861g0010",NA
"MA-135894g0010",NA
"MA-13594g0010",NA
"MA-135963g0010",NA
"MA-135972g0010","PF00887-Acyl CoA binding protein"
"MA-135987g0010","PF09835-Uncharacterized protein conserved in bacteria (DUF2062)"
"MA-135995g0010","PF01169-Uncharacterized protein family UPF0016;PF01169-Uncharacterized protein family UPF0016"
"MA-13609g0010",NA
"MA-136139g0010","PF14309-Domain of unknown function (DUF4378);PF14383-DUF761-associated sequence motif"
"MA-136151g0010","PF08263-Leucine rich repeat N-terminal domain;PF07714-Protein tyrosine kinase"
"MA-136233g0010","PF02110-Hydroxyethylthiazole kinase family"
"MA-13635g0010",NA
"MA-136390g0010","PF08263-Leucine rich repeat N-terminal domain;PF13855-Leucine rich repeat;PF07714-Protein tyrosine kinase"
"MA-13648g0010","PF14633-SH2 domain"
"MA-13648g0020","PF14641-Helix-turn-helix DNA-binding domain of SPT6;PF14635-Helix-hairpin-helix motif;PF17674-HHH domain;PF14633-SH2 domain;PF14632-Acidic N-terminal SPT6;PF14639-Holliday-junction resolvase-like of SPT6"
"MA-136569g0010",NA
"MA-136668g0010",NA
"MA-136671g0010","PF04926-Poly(A) polymerase predicted RNA binding domain;PF04928-Poly(A) polymerase central domain"
"MA-136681g0020",NA
"MA-136863g0010","PF14215-bHLH-MYC and R2R3-MYB transcription factors N-terminal"
"MA-136865g0010",NA
"MA-136885g0020",NA
"MA-13694g0010","PF00782-Dual specificity phosphatase, catalytic domain"
"MA-13697g0010","PF01008-Initiation factor 2 subunit family"
"MA-136975g0010","PF00240-Ubiquitin family;PF00240-Ubiquitin family"
"MA-137050g0010",NA
"MA-137111g0010","PF03226-Yippee zinc-binding/DNA-binding /Mis18, centromere assembly"
"MA-137154g0010","PF04515-Plasma-membrane choline transporter"
"MA-137172g0010","PF03637-Mob1/phocein family"
"MA-137202g0010","PF13419-Haloacid dehalogenase-like hydrolase"
"MA-137324g0010","PF00270-DEAD/DEAH box helicase;PF00271-Helicase conserved C-terminal domain"
"MA-137330g0010","PF00641-Zn-finger in Ran binding protein and others"
"MA-137340g0010",NA
"MA-137389g0010",NA
"MA-137427g0010","PF00642-Zinc finger C-x8-C-x5-C-x3-H type (and similar);PF00642-Zinc finger C-x8-C-x5-C-x3-H type (and similar);PF00642-Zinc finger C-x8-C-x5-C-x3-H type (and similar);PF00642-Zinc finger C-x8-C-x5-C-x3-H type (and similar);PF00642-Zinc finger C-x8-C-x5-C-x3-H type (and similar)"
"MA-137557g0010",NA
"MA-137573g0010","PF00342-Phosphoglucose isomerase"
"MA-137604g0010",NA
"MA-137654g0010","PF12697-Alpha/beta hydrolase family"
"MA-137656g0010",NA
"MA-137694g0010",NA
"MA-137709g0010","PF06017-Unconventional myosin tail, actin- and lipid-binding"
"MA-137710g0010",NA
"MA-137741g0010",NA
"MA-137771g0010","PF00004-ATPase family associated with various cellular activities (AAA);PF17862-AAA+ lid domain;PF16450-Proteasomal ATPase OB C-terminal domain"
"MA-137785g0010","PF10601-LITAF-like zinc ribbon domain"
"MA-137800g0010","PF16320-Ribosomal protein L7/L12 dimerisation domain;PF00542-Ribosomal protein L7/L12 C-terminal domain"
"MA-137804g0010",NA
"MA-137828g0010","PF02798-Glutathione S-transferase, N-terminal domain;PF00043-Glutathione S-transferase, C-terminal domain"
"MA-137838g0010","PF00183-Hsp90 protein"
"MA-137857g0010","PF00173-Cytochrome b5-like Heme/Steroid binding domain"
"MA-13787g0010",NA
"MA-137874g0010","PF08263-Leucine rich repeat N-terminal domain;PF00069-Protein kinase domain"
"MA-137877g0010","PF08879-WRC;PF08880-QLQ"
"MA-137887g0010","PF00069-Protein kinase domain;PF00069-Protein kinase domain"
"MA-137894g0010","PF00179-Ubiquitin-conjugating enzyme"
"MA-137982g0010","PF00450-Serine carboxypeptidase"
"MA-138049g0010","PF00125-Core histone H2A/H2B/H3/H4"
"MA-138049g0020","PF00383-Cytidine and deoxycytidylate deaminase zinc-binding region;PF08211-Cytidine and deoxycytidylate deaminase zinc-binding region"
"MA-138082g0010","PF02536-mTERF"
"MA-138103g0010","PF12937-F-box-like"
"MA-138177g0010","PF05890-Eukaryotic rRNA processing protein EBP2"
"MA-138208g0010",NA
"MA-138223g0010",NA
"MA-138249g0010",NA
"MA-138314g0010","PF03547-Membrane transport protein"
"MA-13833g0010",NA
"MA-138360g0010","PF03727-Hexokinase"
"MA-138387g0010","PF00153-Mitochondrial carrier protein;PF00153-Mitochondrial carrier protein;PF00153-Mitochondrial carrier protein"
"MA-138402g0020","PF00179-Ubiquitin-conjugating enzyme"
"MA-138436g0010",NA
"MA-13844g0010","PF13855-Leucine rich repeat;PF00931-NB-ARC domain"
"MA-13847g0010","PF01722-BolA-like protein"
"MA-13849g0010","PF01494-FAD binding domain"
"MA-138523g0010","PF00226-DnaJ domain"
"MA-13853g0020",NA
"MA-138612g0010","PF00125-Core histone H2A/H2B/H3/H4"
"MA-138621g0010",NA
"MA-138679g0010","PF13640-2OG-Fe(II) oxygenase superfamily"
"MA-138723g0010","PF08879-WRC"
"MA-138761g0010",NA
"MA-138834g0010","PF00171-Aldehyde dehydrogenase family"
"MA-138854g0010","PF06155-Protein of unknown function (DUF971)"
"MA-138875g0030",NA
"MA-13901g0010","PF18376-Mevalonate 5-diphosphate decarboxylase C-terminal domain"
"MA-139026g0010","PF02780-Transketolase, C-terminal domain;PF02779-Transketolase, pyrimidine binding domain"
"MA-13906g0010","PF13639-Ring finger domain"
"MA-139086g0010","PF00262-Calreticulin family;PF00262-Calreticulin family"
"MA-139112g0010","PF00560-Leucine Rich Repeat;PF13855-Leucine rich repeat"
"MA-139148g0010","PF02548-Ketopantoate hydroxymethyltransferase"
"MA-139160g0010",NA
"MA-139193g0010","PF00232-Glycosyl hydrolase family 1"
"MA-139280g0010",NA
"MA-139433g0010","PF00582-Universal stress protein family"
"MA-139472g0010","PF00271-Helicase conserved C-terminal domain"
"MA-139482g0010","PF14555-UBA-like domain;PF00789-UBX domain"
"MA-139546g0010","PF04676-Protein similar to CwfJ C-terminus 2;PF04677-Protein similar to CwfJ C-terminus 1;PF04677-Protein similar to CwfJ C-terminus 1"
"MA-139640g0010","PF03765-CRAL/TRIO, N-terminal domain;PF00650-CRAL/TRIO domain"
"MA-139682g0010","PF00408-Phosphoglucomutase/phosphomannomutase, C-terminal domain"
"MA-139714g0010",NA
"MA-139797g0010","PF00069-Protein kinase domain;PF03822-NAF domain"
"MA-139801g0010",NA
"MA-139857g0010",NA
"MA-139905g0010",NA
"MA-139926g0010","PF07189-Splicing factor 3B subunit 10 (SF3b10)"
"MA-13999g0010","PF08263-Leucine rich repeat N-terminal domain"
"MA-1400g0010","PF04927-Seed maturation protein;PF04927-Seed maturation protein;PF04927-Seed maturation protein"
"MA-140003g0010","PF03514-GRAS domain family"
"MA-140044g0010",NA
"MA-140047g0010",NA
"MA-140098g0010","PF04921-XAP5, circadian clock regulator"
"MA-140161g0010","PF18511-F-box"
"MA-140175g0010",NA
"MA-14020g0030","PF04042-DNA polymerase alpha/epsilon subunit B"
"MA-140260g0010","PF13328-HD domain;PF04607-Region found in RelA / SpoT proteins"
"MA-140268g0010",NA
"MA-140297g0010","PF09336-Vps4 C terminal oligomerisation domain;PF00004-ATPase family associated with various cellular activities (AAA)"
"MA-140410g0020",NA
"MA-140428g0010","PF03151-Triose-phosphate Transporter family"
"MA-140464g0010",NA
"MA-140486g0010","PF03479-Plants and Prokaryotes Conserved (PCC) domain"
"MA-14051g0010","PF05691-Raffinose synthase or seed imbibition protein Sip1;PF05691-Raffinose synthase or seed imbibition protein Sip1"
"MA-140582g0010",NA
"MA-140585g0010","PF04091-Exocyst complex subunit Sec15-like"
"MA-14060g0010","PF12899-Alkaline and neutral invertase"
"MA-140610g0010","PF00632-HECT-domain (ubiquitin-transferase)"
"MA-140611g0010","PF01494-FAD binding domain;PF01494-FAD binding domain"
"MA-140622g0010",NA
"MA-140645g0020","PF01323-DSBA-like thioredoxin domain"
"MA-14066g0010","PF02779-Transketolase, pyrimidine binding domain;PF16870-2-oxoglutarate dehydrogenase C-terminal"
"MA-14068g0010","PF01645-Conserved region in glutamate synthase;PF01645-Conserved region in glutamate synthase;PF01493-GXGXG motif;PF14691-Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster;PF07992-Pyridine nucleotide-disulphide oxidoreductase;PF04898-Glutamate synthase central domain"
"MA-140700g0010","PF13639-Ring finger domain"
"MA-140715g0010","PF02535-ZIP Zinc transporter"
"MA-1408g0010","PF13920-Zinc finger, C3HC4 type (RING finger)"
"MA-14082g0010",NA
"MA-140852g0010","PF00574-Clp protease"
"MA-140861g0010","PF00641-Zn-finger in Ran binding protein and others;PF00641-Zn-finger in Ran binding protein and others"
"MA-140884g0010","PF03911-Sec61beta family"
"MA-140984g0020","PF10235-Microtubule-associated protein CRIPT"
"MA-14099g0010",NA
"MA-141028g0010","PF00854-POT family"
"MA-141029g0010",NA
"MA-141075g0010","PF08613-Cyclin"
"MA-141102g0010","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"MA-141232g0010","PF00312-Ribosomal protein S15;PF08069-Ribosomal S13/S15 N-terminal domain"
"MA-141445g0010","PF01370-NAD dependent epimerase/dehydratase family"
"MA-141447g0010",NA
"MA-141465g0020",NA
"MA-14148g0010","PF00244-14-3-3 protein"
"MA-141486g0010",NA
"MA-141619g0020","PF07690-Major Facilitator Superfamily"
"MA-141641g0010",NA
"MA-14170g0010","PF01217-Clathrin adaptor complex small chain"
"MA-141731g0010","PF14432-DYW family of nucleic acid deaminases;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF13041-PPR repeat family;PF13041-PPR repeat family;PF12854-PPR repeat"
"MA-141733g0010","PF00096-Zinc finger, C2H2 type;PF01428-AN1-like Zinc finger"
"MA-14174g0010",NA
"MA-141759g0010","PF00438-S-adenosylmethionine synthetase, N-terminal domain;PF02773-S-adenosylmethionine synthetase, C-terminal domain;PF02772-S-adenosylmethionine synthetase, central domain"
"MA-141785g0010","PF00564-PB1 domain"
"MA-141826g0010",NA
"MA-141850g0010",NA
"MA-141877g0030","PF15511-Centromere kinetochore component CENP-T histone fold"
"MA-141920g0010","PF14432-DYW family of nucleic acid deaminases;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF13041-PPR repeat family"
"MA-141946g0010","PF08597-Translation initiation factor eIF3 subunit"
"MA-14261g0010",NA
"MA-14272g0010","PF00153-Mitochondrial carrier protein;PF00153-Mitochondrial carrier protein;PF00153-Mitochondrial carrier protein"
"MA-14277g0010","PF12643-MazG-like family"
"MA-1428g0010",NA
"MA-14281g0010",NA
"MA-14292g0010","PF13855-Leucine rich repeat;PF08263-Leucine rich repeat N-terminal domain"
"MA-14296g0010","PF00582-Universal stress protein family"
"MA-14308g0010",NA
"MA-14317g0010","PF01198-Ribosomal protein L31e"
"MA-14319g0010","PF00249-Myb-like DNA-binding domain"
"MA-14341g0010","PF04570-zinc-finger of the FCS-type, C2-C2"
"MA-14356g0010","PF09430-Protein of unknown function (DUF2012)"
"MA-14388g0010","PF00025-ADP-ribosylation factor family"
"MA-143883g0010",NA
"MA-14389g0010","PF00650-CRAL/TRIO domain;PF03765-CRAL/TRIO, N-terminal domain"
"MA-14427g0010","PF00240-Ubiquitin family;PF00240-Ubiquitin family;PF00240-Ubiquitin family"
"MA-14449g0010","PF01095-Pectinesterase"
"MA-14457g0010","PF02171-Piwi domain"
"MA-14460g0010","PF13193-AMP-binding enzyme C-terminal domain;PF00501-AMP-binding enzyme"
"MA-14497g0010","PF01027-Inhibitor of apoptosis-promoting Bax1"
"MA-14500g0010","PF16135-TPL-binding domain in jasmonate signalling;PF00628-PHD-finger"
"MA-145121g0010","PF06404-Phytosulfokine precursor protein (PSK)"
"MA-14524g0010",NA
"MA-14527g0010","PF06203-CCT motif"
"MA-14543g0010","PF00203-Ribosomal protein S19"
"MA-14566g0010","PF03169-OPT oligopeptide transporter protein;PF03169-OPT oligopeptide transporter protein;PF03169-OPT oligopeptide transporter protein"
"MA-14571g0010","PF01201-Ribosomal protein S8e"
"MA-14581g0010","PF00343-Carbohydrate phosphorylase;PF00343-Carbohydrate phosphorylase"
"MA-14593g0010","PF13671-AAA domain"
"MA-14604g0010","PF00759-Glycosyl hydrolase family 9"
"MA-1461g0010",NA
"MA-14639g0010","PF01246-Ribosomal protein L24e"
"MA-1464g0010","PF03468-XS domain"
"MA-14653g0010",NA
"MA-14667g0010",NA
"MA-1472889g0010",NA
"MA-1477g0010",NA
"MA-14798g0010","PF00808-Histone-like transcription factor (CBF/NF-Y) and archaeal histone"
"MA-14808g0010",NA
"MA-1482g0010","PF00268-Ribonucleotide reductase, small chain"
"MA-14844g0010","PF00481-Protein phosphatase 2C"
"MA-14851g0010","PF00646-F-box domain"
"MA-14874g0010","PF04433-SWIRM domain;PF01593-Flavin containing amine oxidoreductase"
"MA-14910g0010",NA
"MA-14935g0010","PF05347-Complex 1 protein (LYR family)"
"MA-14938g0020","PF03000-NPH3 family"
"MA-14942g0010","PF00415-Regulator of chromosome condensation (RCC1) repeat;PF00415-Regulator of chromosome condensation (RCC1) repeat;PF00415-Regulator of chromosome condensation (RCC1) repeat"
"MA-14956g0020","PF13812-Pentatricopeptide repeat domain;PF01535-PPR repeat;PF13041-PPR repeat family"
"MA-14958g0010","PF00472-RF-1 domain"
"MA-14971g0010","PF04640-PLATZ transcription factor"
"MA-14999g0010","PF10539-Development and cell death domain"
"MA-150g0010","PF00646-F-box domain"
"MA-15029g0010",NA
"MA-15038g0010","PF08623-TATA-binding protein interacting (TIP20)"
"MA-15053g0010",NA
"MA-15064g0010",NA
"MA-15112g0010",NA
"MA-15119g0010","PF03828-Cid1 family poly A polymerase"
"MA-1513g0010",NA
"MA-15175g0010","PF08729-HPC2 and ubinuclein domain"
"MA-15205g0010",NA
"MA-15211g0010","PF13499-EF-hand domain pair;PF13499-EF-hand domain pair"
"MA-15215g0010",NA
"MA-15224g0010",NA
"MA-15246g0010","PF13639-Ring finger domain"
"MA-15320g0020",NA
"MA-15346g0010",NA
"MA-1537g0010","PF08158-NUC130/3NT domain"
"MA-15380g0030","PF16922-DNA replication complex GINS protein SLD5 C-terminus"
"MA-15398g0010","PF13410-Glutathione S-transferase, C-terminal domain;PF13409-Glutathione S-transferase, N-terminal domain"
"MA-15416g0010",NA
"MA-15416g0020",NA
"MA-1542g0010","PF00098-Zinc knuckle;PF00098-Zinc knuckle;PF00098-Zinc knuckle;PF06839-GRF zinc finger;PF06839-GRF zinc finger"
"MA-15423g0020","PF03079-ARD/ARD' family"
"MA-1543g0020","PF03966-Trm112p-like protein"
"MA-15442g0010",NA
"MA-15462g0010",NA
"MA-1548g0010","PF13178-Protein of unknown function (DUF4005);PF00612-IQ calmodulin-binding motif;PF00612-IQ calmodulin-binding motif;PF00612-IQ calmodulin-binding motif"
"MA-154988g0010","PF00355-Rieske [2Fe-2S] domain"
"MA-15508g0010","PF03951-Glutamine synthetase, beta-Grasp domain;PF00120-Glutamine synthetase, catalytic domain"
"MA-15520g0010","PF03162-Tyrosine phosphatase family"
"MA-155287g0010","PF01145-SPFH domain / Band 7 family"
"MA-15537g0010",NA
"MA-15543g0010",NA
"MA-15580g0010","PF00056-lactate/malate dehydrogenase, NAD binding domain;PF02866-lactate/malate dehydrogenase, alpha/beta C-terminal domain"
"MA-15586g0010",NA
"MA-15599g0010","PF00240-Ubiquitin family;PF00632-HECT-domain (ubiquitin-transferase)"
"MA-15606g0010","PF02953-Tim10/DDP family zinc finger"
"MA-156194g0010",NA
"MA-156275g0010","PF13833-EF-hand domain pair"
"MA-15646g0010","PF01425-Amidase"
"MA-15650g0010","PF14703-Cytosolic domain of 10TM putative phosphate transporter;PF13967-Late exocytosis, associated with Golgi transport;PF02714-Calcium-dependent channel, 7TM region, putative phosphate"
"MA-15657g0010","PF00226-DnaJ domain"
"MA-15670g0010","PF07479-NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus;PF01210-NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus"
"MA-156774g0010","PF01111-Cyclin-dependent kinase regulatory subunit"
"MA-156823g0020",NA
"MA-15683g0010","PF12734-Cysteine-rich TM module stress tolerance"
"MA-15689g0010","PF00168-C2 domain"
"MA-15703g0010","PF07847-PCO_ADO"
"MA-15709g0010","PF15247-Histone RNA hairpin-binding protein RNA-binding domain"
"MA-15713g0010","PF18263-MCM6 C-terminal winged-helix domain;PF00493-MCM P-loop domain;PF14551-MCM N-terminal domain;PF17207-MCM OB domain;PF17855-MCM AAA-lid domain"
"MA-15732g0010",NA
"MA-15760g0010",NA
"MA-158054g0010","PF01373-Glycosyl hydrolase family 14"
"MA-158067g0010",NA
"MA-158147g0010",NA
"MA-158189g0010","PF00224-Pyruvate kinase, barrel domain;PF00224-Pyruvate kinase, barrel domain"
"MA-15819g0010","PF17035-Bromodomain extra-terminal - transcription regulation"
"MA-15821g0010","PF04535-Domain of unknown function (DUF588)"
"MA-158214g0010","PF07780-Spb1 C-terminal domain"
"MA-158233g0010","PF01569-PAP2 superfamily"
"MA-158278g0010",NA
"MA-158316g0010","PF13499-EF-hand domain pair;PF00036-EF hand"
"MA-158317g0010",NA
"MA-158362g0010","PF00010-Helix-loop-helix DNA-binding domain"
"MA-158372g0010",NA
"MA-15838g0010","PF00403-Heavy-metal-associated domain"
"MA-158402g0010","PF16363-GDP-mannose 4,6 dehydratase"
"MA-15842g0010","PF13516-Leucine Rich repeat"
"MA-158437g0010","PF13563-2'-5' RNA ligase superfamily"
"MA-158438g0010",NA
"MA-158457g0010","PF01780-Ribosomal L37ae protein family"
"MA-158470g0010","PF03719-Ribosomal protein S5, C-terminal domain;PF00333-Ribosomal protein S5, N-terminal domain"
"MA-158497g0010","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"MA-158513g0010","PF00069-Protein kinase domain"
"MA-158518g0010",NA
"MA-158556g0010","PF03477-ATP cone domain;PF02867-Ribonucleotide reductase, barrel domain;PF00317-Ribonucleotide reductase, all-alpha domain"
"MA-158566g0010","PF07983-X8 domain"
"MA-158595g0010",NA
"MA-158671g0010","PF00301-Rubredoxin"
"MA-158684g0010","PF00071-Ras family"
"MA-158699g0010",NA
"MA-158706g0010","PF02840-Prp18 domain;PF08799-pre-mRNA processing factor 4 (PRP4) like"
"MA-158744g0010",NA
"MA-158801g0010","PF05327-RNA polymerase I specific transcription initiation factor RRN3"
"MA-15889g0020","PF00342-Phosphoglucose isomerase;PF00342-Phosphoglucose isomerase"
"MA-15892g0010","PF00891-O-methyltransferase domain"
"MA-15896g0010","PF07899-Frigida-like protein"
"MA-15897g0010","PF00271-Helicase conserved C-terminal domain;PF00176-SNF2 family N-terminal domain"
"MA-158988g0010","PF02265-S1/P1 Nuclease"
"MA-15906g0010","PF13041-PPR repeat family;PF13041-PPR repeat family;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF14432-DYW family of nucleic acid deaminases"
"MA-159093g0010","PF06911-Senescence-associated protein"
"MA-15917g0010","PF10539-Development and cell death domain"
"MA-15920g0010","PF00249-Myb-like DNA-binding domain"
"MA-159389g0020","PF17766-Fibronectin type-III domain"
"MA-159432g0010",NA
"MA-15972g0010","PF00173-Cytochrome b5-like Heme/Steroid binding domain"
"MA-15983g0010",NA
"MA-159855g0010","PF05659-Arabidopsis broad-spectrum mildew resistance protein RPW8;PF00931-NB-ARC domain"
"MA-15991g0010","PF02485-Core-2/I-Branching enzyme"
"MA-160117g0010","PF04043-Plant invertase/pectin methylesterase inhibitor"
"MA-16025g0010",NA
"MA-160355g0010","PF00411-Ribosomal protein S11"
"MA-16047g0010","PF00149-Calcineurin-like phosphoesterase"
"MA-160484g0010","PF01435-Peptidase family M48"
"MA-16054g0010","PF01241-Photosystem I psaG / psaK"
"MA-16057g0010","PF11835-RRM-like domain;PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);PF13893-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);PF13893-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"MA-16066g0010","PF03947-Ribosomal Proteins L2, C-terminal domain"
"MA-16089g0010","PF00179-Ubiquitin-conjugating enzyme"
"MA-161013g0010","PF07731-Multicopper oxidase;PF00394-Multicopper oxidase;PF07732-Multicopper oxidase"
"MA-161133g0010","PF02776-Thiamine pyrophosphate enzyme, N-terminal TPP binding domain;PF00205-Thiamine pyrophosphate enzyme, central domain;PF02775-Thiamine pyrophosphate enzyme, C-terminal TPP binding domain"
"MA-16118g0010","PF03106-WRKY DNA -binding domain;PF03106-WRKY DNA -binding domain"
"MA-16143g0010",NA
"MA-161434g0010","PF02536-mTERF"
"MA-161463g0020","PF03145-Seven in absentia protein family"
"MA-16148g0010","PF10408-Ubiquitin elongating factor core;PF04564-U-box domain"
"MA-16152g0010","PF00759-Glycosyl hydrolase family 9"
"MA-16171g0010",NA
"MA-16172g0010",NA
"MA-16198g0010","PF13905-Thioredoxin-like"
"MA-16231g0010",NA
"MA-162339g0010",NA
"MA-16249g0010","PF03469-XH domain"
"MA-16252g0010",NA
"MA-162555g0010","PF01582-TIR domain"
"MA-16264g0010","PF06749-Protein of unknown function (DUF1218)"
"MA-16271g0010",NA
"MA-162816g0010","PF08597-Translation initiation factor eIF3 subunit"
"MA-162822g0010","PF00319-SRF-type transcription factor (DNA-binding and dimerisation domain)"
"MA-162919g0010","PF13855-Leucine rich repeat;PF00931-NB-ARC domain"
"MA-16292g0010",NA
"MA-16299g0010","PF12796-Ankyrin repeats (3 copies)"
"MA-1630050g0010",NA
"MA-163198g0010","PF01190-Pollen proteins Ole e I like"
"MA-163198g0030","PF00348-Polyprenyl synthetase"
"MA-16336g0010",NA
"MA-163659g0010",NA
"MA-16379g0010",NA
"MA-163806g0010","PF00071-Ras family"
"MA-1640g0010",NA
"MA-16407g0010","PF02705-K+ potassium transporter"
"MA-1641g0010",NA
"MA-16420g0020","PF04678-Mitochondrial calcium uniporter"
"MA-16421g0010","PF02138-Beige/BEACH domain;PF00400-WD domain, G-beta repeat"
"MA-16441g0010","PF03000-NPH3 family"
"MA-16444g0010","PF04564-U-box domain;PF07714-Protein tyrosine kinase"
"MA-16445g0010","PF07714-Protein tyrosine kinase"
"MA-164507g0010","PF00808-Histone-like transcription factor (CBF/NF-Y) and archaeal histone"
"MA-16454g0010","PF00010-Helix-loop-helix DNA-binding domain"
"MA-164660g0010",NA
"MA-16474g0010","PF00481-Protein phosphatase 2C"
"MA-16477g0010",NA
"MA-164900g0010","PF00227-Proteasome subunit"
"MA-16509g0010","PF14009-Domain of unknown function (DUF4228)"
"MA-16514g0010","PF09420-Ribosome biogenesis protein Nop16"
"MA-1654g0020","PF00149-Calcineurin-like phosphoesterase"
"MA-165515g0010",NA
"MA-165604g0010","PF17284-Spermidine synthase tetramerisation domain;PF01564-Spermine/spermidine synthase domain"
"MA-16582g0010","PF00254-FKBP-type peptidyl-prolyl cis-trans isomerase"
"MA-16595g0010","PF02365-No apical meristem (NAM) protein"
"MA-165978g0010","PF06886-Targeting protein for Xklp2 (TPX2)"
"MA-16624g0010","PF07992-Pyridine nucleotide-disulphide oxidoreductase"
"MA-166295g0010","PF05899-Protein of unknown function (DUF861)"
"MA-16642g0010",NA
"MA-16653g0010","PF01992-ATP synthase (C/AC39) subunit"
"MA-166600g0010","PF03446-NAD binding domain of 6-phosphogluconate dehydrogenase;PF00393-6-phosphogluconate dehydrogenase, C-terminal domain"
"MA-166638g0010",NA
"MA-166792g0010","PF10406-Transcription factor TFIID complex subunit 8 C-term;PF07524-Bromodomain associated"
"MA-167002g0010","PF01329-Pterin 4 alpha carbinolamine dehydratase"
"MA-167141g0010","PF00854-POT family"
"MA-16730g0010","PF04729-ASF1 like histone chaperone"
"MA-167307g0010","PF00561-alpha/beta hydrolase fold"
"MA-16736g0010","PF01120-Alpha-L-fucosidase"
"MA-16738g0010","PF00566-Rab-GTPase-TBC domain"
"MA-167441g0010","PF08911-NUP50 (Nucleoporin 50 kDa);PF00638-RanBP1 domain"
"MA-16752g0030",NA
"MA-167684g0010",NA
"MA-16778g0010","PF00847-AP2 domain"
"MA-1678g0010",NA
"MA-16801g0010","PF04153-NOT2 / NOT3 / NOT5 family"
"MA-168013g0010",NA
"MA-168035g0010","PF00808-Histone-like transcription factor (CBF/NF-Y) and archaeal histone"
"MA-168201g0010",NA
"MA-16828g0010","PF08293-Mitochondrial ribosomal subunit S27"
"MA-16831g0010",NA
"MA-168343g0010",NA
"MA-16835g0010",NA
"MA-168592g0010",NA
"MA-16870g0010","PF04548-AIG1 family;PF11886-Translocase of chloroplast 159/132, membrane anchor domain"
"MA-16875g0010",NA
"MA-168804g0010","PF05608-Protein of unknown function (DUF778);PF05608-Protein of unknown function (DUF778)"
"MA-16887g0010",NA
"MA-168879g0020","PF04825-N terminus of Rad21 / Rec8 like protein;PF04824-Conserved region of Rad21 / Rec8 like protein"
"MA-16898g0020","PF01694-Rhomboid family"
"MA-169053g0010","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
